county,gini
"Surry County, North Carolina",0.47
"Union County, North Carolina",0.45
"Wake County, North Carolina",0.4453
"Wayne County, North Carolina",0.4448
"Wilkes County, North Carolina",0.4483
"Wilson County, North Carolina",0.4632
"Burleigh County, North Dakota",0.4518
"Cass County, North Dakota",0.4686
"Grand Forks County, North Dakota",0.5038
"Ward County, North Dakota",0.3934
"Allen County, Ohio",0.442
"Ashtabula County, Ohio",0.4153
"Athens County, Ohio",0.5456
"Belmont County, Ohio",0.4587
"Butler County, Ohio",0.4423
"Clark County, Ohio",0.4293
"Clermont County, Ohio",0.426
"Columbiana County, Ohio",0.4515
"Cuyahoga County, Ohio",0.5019
"Delaware County, Ohio",0.4356
"Erie County, Ohio",0.4745
"Fairfield County, Ohio",0.4126
"Franklin County, Ohio",0.4759
"Geauga County, Ohio",0.4962
"Greene County, Ohio",0.4373
"Hamilton County, Ohio",0.4995
"Hancock County, Ohio",0.4058
"Jefferson County, Ohio",0.4432
"Lake County, Ohio",0.4054
"Licking County, Ohio",0.4098
"Lorain County, Ohio",0.4367
"Lucas County, Ohio",0.4821
"Mahoning County, Ohio",0.479
"Marion County, Ohio",0.4302
"Medina County, Ohio",0.4199
"Miami County, Ohio",0.4633
"Montgomery County, Ohio",0.4581
"Muskingum County, Ohio",0.4376
"Portage County, Ohio",0.4301
"Richland County, Ohio",0.4167
"Ross County, Ohio",0.426
"Scioto County, Ohio",0.4749
"Stark County, Ohio",0.4537
"Summit County, Ohio",0.4766
"Trumbull County, Ohio",0.4464
"Tuscarawas County, Ohio",0.4308
"Warren County, Ohio",0.4175
"Wayne County, Ohio",0.419
"Wood County, Ohio",0.4496
"Canadian County, Oklahoma",0.4244
"Cleveland County, Oklahoma",0.4241
"Comanche County, Oklahoma",0.453
"Creek County, Oklahoma",0.4592
"Muskogee County, Oklahoma",0.4937
"Oklahoma County, Oklahoma",0.4919
"Payne County, Oklahoma",0.512
"Pottawatomie County, Oklahoma",0.4666
"Rogers County, Oklahoma",0.4311
"Tulsa County, Oklahoma",0.4874
"Wagoner County, Oklahoma",0.4086
"Benton County, Oregon",0.4872
"Clackamas County, Oregon",0.4466
"Deschutes County, Oregon",0.4703
"Douglas County, Oregon",0.4608
"Jackson County, Oregon",0.4647
"Josephine County, Oregon",0.4262
"Klamath County, Oregon",0.4351
"Lane County, Oregon",0.4618
"Linn County, Oregon",0.427
"Marion County, Oregon",0.433
"Multnomah County, Oregon",0.4746
"Polk County, Oregon",0.4046
"Umatilla County, Oregon",0.4461
"Washington County, Oregon",0.4354
"Yamhill County, Oregon",0.4586
"Adams County, Pennsylvania",0.3874
"Allegheny County, Pennsylvania",0.4895
"Armstrong County, Pennsylvania",0.4154
"Beaver County, Pennsylvania",0.4308
"Berks County, Pennsylvania",0.4512
"Blair County, Pennsylvania",0.445
"Bucks County, Pennsylvania",0.4511
"Butler County, Pennsylvania",0.4147
"Cambria County, Pennsylvania",0.4342
"Carbon County, Pennsylvania",0.3946
"Centre County, Pennsylvania",0.454
"Chester County, Pennsylvania",0.4489
"Clearfield County, Pennsylvania",0.4241
"Columbia County, Pennsylvania",0.4612
"Crawford County, Pennsylvania",0.423
"Cumberland County, Pennsylvania",0.4159
"Dauphin County, Pennsylvania",0.4258
"Delaware County, Pennsylvania",0.4677
"Erie County, Pennsylvania",0.4603
"Fayette County, Pennsylvania",0.4856
"Franklin County, Pennsylvania",0.3993
"Indiana County, Pennsylvania",0.4508
"Lackawanna County, Pennsylvania",0.4713
"Lancaster County, Pennsylvania",0.4267
"Lawrence County, Pennsylvania",0.4809
"Lebanon County, Pennsylvania",0.4113
"Lehigh County, Pennsylvania",0.4541
"Luzerne County, Pennsylvania",0.443
"Lycoming County, Pennsylvania",0.433
"Mercer County, Pennsylvania",0.4266
"Monroe County, Pennsylvania",0.3974
"Montgomery County, Pennsylvania",0.4683
"Northampton County, Pennsylvania",0.4213
"Northumberland County, Pennsylvania",0.4433
"Philadelphia County, Pennsylvania",0.5049
"Schuylkill County, Pennsylvania",0.4396
"Somerset County, Pennsylvania",0.4353
"Washington County, Pennsylvania",0.4523
"Westmoreland County, Pennsylvania",0.4612
"York County, Pennsylvania",0.4103
"Kent County, Rhode Island",0.4258
"Newport County, Rhode Island",0.4963
"Providence County, Rhode Island",0.4854
"Washington County, Rhode Island",0.4321
"Aiken County, South Carolina",0.4735
"Anderson County, South Carolina",0.436
"Beaufort County, South Carolina",0.4887
"Berkeley County, South Carolina",0.4179
"Charleston County, South Carolina",0.4931
"Darlington County, South Carolina",0.5087
"Dorchester County, South Carolina",0.4608
"Florence County, South Carolina",0.4858
"Greenville County, South Carolina",0.4608
"Greenwood County, South Carolina",0.4605
